from,to,value
MeV.FibLaminin.0,Imm.DAM.1,19
MeV.LowQuality.0,MeV.Pericytes.0,19
MeV.FibCollagen.2,MeV.VLMC.1,19
MeV.Fib.3,Imm.PVM.0,19
MeV.FibCollagen.3,MeV.Pericytes.0,19
MeV.FibLaminin.0,MeV.LowQuality.0,19
MeV.FibUnknown.6,MeV.Pericytes.0,19
Neu.CSFcN.0,MeV.VLMC.1,19
MeV.Fib.3,MeV.Endothelial.2,19
MeV.Fib.3,Imm.Proliferative.0,19
MeV.Fib.3,MeV.Fib.3,19
MeV.Fib.0,MeV.FibCollagen.1,18
MeV.Epithelial.0,MeV.FibCollagen.3,18
MeV.Epithelial.0,MeV.VLMC.0,18
MeV.Fib.3,Imm.Interferon.0,18
MeV.VLMC.0,Imm.DAM.1,18
MeV.VLMC.1,MeV.Fib.1,18
MeV.FibLaminin.0,MeV.Fib.4,18
MeV.FibLaminin.0,MeV.FibCollagen.0,18
MeV.FibUnknown.6,MeV.Fib.4,18
MeV.FibUnknown.6,MeV.VLMC.0,18
MeV.Fib.4,Neu.CSFcN.0,18
MeV.VLMC.1,MeV.Endothelial.2,18
MeV.FibUnknown.6,MeV.Fib.3,18
MeV.FibCollagen.2,MeV.VLMC.0,18
MeV.VLMC.0,MeV.Pericytes.0,18
MeV.FibUnknown.6,Imm.M0Like.0,18
Neu.CSFcN.0,MeV.Fib.3,18
MeV.FibUnknown.6,MeV.VLMC.1,18
MeV.FibCollagen.0,MeV.Endothelial.2,18
MeV.FibCollagen.2,MeV.FibCollagen.3,18
MeV.FibProlif.0,MeV.FibCollagen.3,18
Imm.M0Like.1,Neu.CSFcN.0,18
MeV.LowQuality.0,Imm.M0Like.0,17
MeV.LowQuality.0,MeV.FibLaminin.0,17
MeV.LowQuality.0,Neu.Epend.0,17
MeV.Fib.1,Imm.DAM.1,17
MeV.FibProlif.0,MeV.VLMC.1,17
MeV.Fib.0,MeV.VLMC.0,17
MeV.Fib.1,MeV.VLMC.0,17
MeV.Fib.2,MeV.FibCollagen.0,17
MeV.Fib.2,MeV.VLMC.1,17
MeV.FibLaminin.0,MeV.Fib.1,17
MeV.FibUnknown.6,Imm.DAM.1,17
MeV.Fib.0,MeV.FibProlif.0,17
MeV.FibCollagen.3,MeV.FibProlif.0,17
MeV.VLMC.1,MeV.FibUnknown.6,17
MeV.FibProlif.0,MeV.VLMC.0,17
MeV.Fib.0,Imm.M0Like.2,17
MeV.Fib.0,MeV.LowQuality.0,17
MeV.Fib.0,MeV.Pericytes.0,17
MeV.FibLaminin.0,Imm.M0Like.2,17
MeV.FibUnknown.6,Imm.PVM.0,17
MeV.FibUnknown.6,MeV.FibCollagen.1,17
MeV.FibLaminin.0,MeV.Endothelial.2,17
MeV.FibUnknown.6,MeV.FibCollagen.3,17
MeV.FibUnknown.6,MeV.FibLaminin.0,17
Neu.CSFcN.0,Imm.M0Like.2,17
Neu.Epend.0,MeV.FibCollagen.3,17
MeV.LowQuality.0,MeV.VLMC.0,17
MeV.Fib.5,MeV.FibCollagen.3,17
MeV.LowQuality.0,MeV.VLMC.1,17
MeV.FibCollagen.1,MeV.FibLaminin.0,17
Imm.M0Like.0,Imm.M0Like.0,17
Imm.M0Like.2,Neu.Epend.0,16
MeV.SMC.0,MeV.FibCollagen.1,16
MeV.LowQuality.0,MeV.Endothelial.2,16
MeV.ImmuneDoublets.0,MeV.VLMC.1,16
MeV.Fib.3,MeV.Fib.1,16
MeV.VLMC.0,MeV.SMC.0,16
MeV.Fib.2,MeV.Fib.4,16
MeV.FibCollagen.3,MeV.SMC.0,16
MeV.Fib.1,MeV.Endothelial.2,16
MeV.Fib.1,MeV.FibCollagen.3,16
MeV.Fib.2,MeV.FibProlif.0,16
MeV.FibLaminin.0,MeV.Fib.3,16
MeV.Epithelial.0,MeV.FibCollagen.1,16
MeV.Epithelial.0,Neu.CSFcN.0,16
MeV.VLMC.1,Imm.M0Like.0,16
MeV.Fib.2,MeV.Pericytes.0,16
MeV.FibLaminin.0,MeV.Fib.2,16
MeV.FibUnknown.6,Imm.M0Like.2,16
Neu.CSFcN.0,Imm.DAM.1,16
Neu.CSFcN.0,MeV.Fib.1,16
Neu.Epend.0,MeV.ImmuneDoublets.0,16
Neu.CSFcN.0,Imm.DAM.0,16
MeV.FibCollagen.2,MeV.FibProlif.0,16
