from,to,value
MeV.Endothelial.0,MeV.FibProlif.0,3
MeV.Endothelial.0,MeV.SMC.0,2
MeV.Endothelial.1,Imm.M0Like.0,4
MeV.Endothelial.1,Imm.PVM.0,6
MeV.Endothelial.1,MeV.EndoUnknow.4,9
MeV.Endothelial.1,MeV.Endothelial.1,6
MeV.Endothelial.1,MeV.Endothelial.2,4
MeV.Endothelial.1,MeV.Fib.0,6
MeV.Endothelial.1,MeV.Fib.1,4
MeV.Endothelial.1,MeV.Fib.2,8
MeV.Endothelial.1,MeV.Fib.3,15
MeV.Endothelial.1,MeV.Fib.5,7
MeV.Endothelial.1,MeV.FibCollagen.3,5
MeV.Endothelial.1,MeV.FibProlif.0,8
MeV.Endothelial.1,MeV.SMC.0,8
MeV.Endothelial.1,MeV.VLMC.0,6
MeV.Endothelial.1,Neu.CSFcN.0,4
MeV.Endothelial.2,Imm.Proliferative.0,5
MeV.Endothelial.2,MeV.EndoUnknow.4,4
MeV.Endothelial.2,MeV.Fib.1,4
MeV.Endothelial.2,MeV.Fib.3,6
MeV.Endothelial.2,MeV.FibCollagen.0,2
MeV.Endothelial.2,MeV.FibCollagen.1,3
MeV.Endothelial.2,MeV.FibLaminin.0,2
MeV.Endothelial.2,MeV.FibProlif.0,5
MeV.Endothelial.2,MeV.SMC.0,3
MeV.Endothelial.3,Imm.Proliferative.0,4
MeV.Endothelial.3,MeV.EndoUnknow.4,7
MeV.Endothelial.3,MeV.Fib.1,8
MeV.Endothelial.3,MeV.Fib.3,5
MeV.Endothelial.3,MeV.FibCollagen.0,5
MeV.Endothelial.3,MeV.FibCollagen.1,9
MeV.Endothelial.3,MeV.FibLaminin.0,3
MeV.Endothelial.3,MeV.FibProlif.0,4
MeV.Endothelial.3,MeV.SMC.0,5
MeV.Epithelial.0,MeV.EndoUnknow.4,5
MeV.Epithelial.0,Neu.CSFcN.0,12
MeV.Fib.0,Neu.CSFcN.0,18
MeV.Fib.1,MeV.EndoUnknow.4,10
MeV.Fib.1,MeV.Endothelial.1,8
MeV.Fib.1,MeV.Fib.2,7
MeV.Fib.1,MeV.FibCollagen.3,14
MeV.Fib.1,MeV.VLMC.0,4
MeV.Fib.1,Neu.CSFcN.0,14
MeV.Fib.4,Neu.CSFcN.0,11
MeV.FibCollagen.0,MeV.EndoUnknow.4,9
MeV.FibCollagen.0,Neu.CSFcN.0,14
MeV.FibCollagen.1,MeV.Endothelial.0,11
MeV.FibCollagen.1,MeV.Endothelial.3,17
MeV.FibCollagen.1,MeV.VLMC.1,22
MeV.FibLaminin.0,MeV.Endothelial.3,6
MeV.LowQuality.0,MeV.EndoUnknow.4,14
MeV.LowQuality.0,Neu.CSFcN.0,9
MeV.SMC.0,MeV.Endothelial.0,2
MeV.SMC.0,MeV.VLMC.1,10
MeV.VLMC.1,MeV.Endothelial.3,11
Neu.Epend.0,Neu.CSFcN.0,1
Imm.DAM.0,Imm.DAM.1,5
Imm.DAM.0,Imm.M0Like.0,4
Imm.DAM.0,Imm.M0Like.1,4
Imm.DAM.0,Imm.M0Like.2,4
Imm.DAM.0,MeV.EndoUnknow.4,5
Imm.DAM.0,MeV.Endothelial.1,5
Imm.DAM.0,MeV.Endothelial.3,5
Imm.DAM.0,Neu.CSFcN.0,13
Imm.DAM.1,Imm.M0Like.0,8
Imm.DAM.1,MeV.Endothelial.3,6
Imm.DAM.1,Neu.CSFcN.0,8
Imm.M0Like.1,Imm.M0Like.0,7
Imm.M0Like.1,MeV.Endothelial.0,3
Imm.M0Like.1,MeV.Endothelial.3,2
Imm.M0Like.1,MeV.VLMC.1,6
Imm.M0Like.1,Neu.CSFcN.0,10
Imm.PVM.0,MeV.Endothelial.0,2
Imm.PVM.0,MeV.Endothelial.3,4
Imm.PVM.0,MeV.VLMC.1,4
MeV.Fib.1,Imm.M0Like.0,5
MeV.Fib.1,Imm.PVM.0,15
MeV.Fib.1,MeV.Endothelial.0,4
MeV.Fib.1,MeV.Endothelial.3,8
MeV.Fib.1,MeV.VLMC.1,17
MeV.Fib.2,Imm.DAM.1,6
MeV.Fib.2,MeV.EndoUnknow.4,10
MeV.Fib.5,Imm.DAM.1,5
MeV.Fib.5,MeV.EndoUnknow.4,10
MeV.Fib.5,Neu.CSFcN.0,17
MeV.FibCollagen.2,MeV.Endothelial.0,5
MeV.FibCollagen.2,MeV.Endothelial.3,15
MeV.FibCollagen.2,MeV.VLMC.1,20
MeV.FibCollagen.3,Imm.DAM.1,8
MeV.FibCollagen.3,MeV.EndoUnknow.4,9
MeV.FibCollagen.3,MeV.FibCollagen.3,7
MeV.ImmuneDoublets.0,Imm.DAM.1,4
MeV.ImmuneDoublets.0,Imm.M0Like.0,11
MeV.ImmuneDoublets.0,Imm.M0Like.1,4
MeV.ImmuneDoublets.0,Imm.PVM.0,7
MeV.ImmuneDoublets.0,MeV.EndoUnknow.4,4
MeV.ImmuneDoublets.0,MeV.Endothelial.0,4
MeV.ImmuneDoublets.0,MeV.Endothelial.3,5
MeV.ImmuneDoublets.0,MeV.VLMC.1,7
MeV.ImmuneDoublets.0,Neu.CSFcN.0,34
MeV.VLMC.1,Imm.M0Like.0,6
MeV.VLMC.1,MeV.Endothelial.0,4
MeV.VLMC.1,MeV.VLMC.1,19
MeV.VLMC.1,Neu.CSFcN.0,7
MeV.Epithelial.0,Imm.PVM.0,9
MeV.Epithelial.0,MeV.Endothelial.0,7
MeV.Epithelial.0,MeV.Endothelial.2,6
MeV.Epithelial.0,MeV.FibCollagen.1,12
MeV.Epithelial.0,MeV.FibCollagen.3,17
MeV.Epithelial.0,MeV.FibLaminin.0,8
MeV.Epithelial.0,MeV.SMC.0,15
MeV.Epithelial.0,MeV.VLMC.1,16
MeV.Fib.3,Imm.PVM.0,12
MeV.Fib.3,MeV.Endothelial.2,6
MeV.Fib.3,MeV.FibLaminin.0,14
MeV.Fib.3,MeV.ImmuneDoublets.0,11
MeV.Fib.3,MeV.SMC.0,7
MeV.Fib.3,MeV.VLMC.1,14
MeV.VLMC.0,Imm.PVM.0,13
MeV.VLMC.0,MeV.Endothelial.2,4
MeV.VLMC.0,MeV.FibLaminin.0,7
MeV.VLMC.0,MeV.ImmuneDoublets.0,23
MeV.VLMC.0,MeV.SMC.0,12
MeV.VLMC.0,MeV.VLMC.1,18
MeV.Fib.0,Imm.PVM.0,10
MeV.Fib.0,MeV.Endothelial.2,7
MeV.Fib.0,MeV.FibLaminin.0,11
MeV.Fib.0,MeV.ImmuneDoublets.0,14
MeV.Fib.0,MeV.SMC.0,9
MeV.Fib.0,MeV.VLMC.1,10
MeV.Fib.1,MeV.Endothelial.2,8
MeV.Fib.1,MeV.FibLaminin.0,8
MeV.Fib.1,MeV.ImmuneDoublets.0,17
