from,to,value
Imm.MHCII.0,Neu.Epend.0,26
Imm.MHCII.0,MeV.Epithelial.0,12
Imm.MHCII.0,MeV.Pericytes.0,10
Imm.MHCII.0,MeV.Endothelial.0,13
Imm.MHCII.0,MeV.SMC.0,2
Imm.MHCII.0,MeV.FibCollagen.1,5
Imm.MHCII.0,MeV.Fib.5,6
Imm.MHCII.0,MeV.Fib.4,15
Imm.MHCII.0,MeV.FibProlif.0,4
Imm.MHCII.0,MeV.Endothelial.3,11
Imm.MHCII.0,MeV.FibCollagen.2,9
Imm.MHCII.0,MeV.VLMC.1,14
Imm.MHCII.0,MeV.FibLaminin.0,6
Imm.MHCII.0,MeV.VLMC.0,14
Imm.MHCII.0,MeV.Fib.3,8
Imm.MHCII.0,MeV.FibUnknown.6,10
Imm.MHCII.0,MeV.LowQuality.0,10
Imm.MHCII.0,Imm.M0Like.0,13
Imm.MHCII.0,MeV.Endothelial.1,9
Imm.MHCII.0,MeV.Fib.2,5
Imm.MHCII.0,MeV.FibCollagen.0,9
Imm.MHCII.0,MeV.Fib.0,7
Imm.MHCII.0,MeV.Fib.1,12
Imm.MHCII.0,MeV.Endothelial.2,14
Imm.MHCII.0,MeV.FibCollagen.3,6
Imm.Interferon.0,Imm.M0Like.1,8
Imm.Interferon.0,Imm.M0Like.2,13
Imm.Interferon.0,Imm.DAM.0,6
Imm.Interferon.0,Imm.MHCII.0,9
Imm.Interferon.0,Imm.Interferon.0,3
Imm.Interferon.0,MeV.ImmuneDoublets.0,8
Imm.Interferon.0,Imm.PVM.0,11
Imm.Interferon.0,Imm.DAM.1,10
Imm.Interferon.0,Imm.Proliferative.0,3
Imm.Interferon.0,Neu.CSFcN.0,41
Imm.Interferon.0,Neu.Epend.0,36
Imm.Interferon.0,MeV.Epithelial.0,13
Imm.Interferon.0,MeV.Pericytes.0,16
Imm.Interferon.0,MeV.Endothelial.0,11
Imm.Interferon.0,MeV.SMC.0,8
Imm.Interferon.0,MeV.FibCollagen.1,7
Imm.Interferon.0,MeV.Fib.5,6
Imm.Interferon.0,MeV.Fib.4,14
Imm.Interferon.0,MeV.FibProlif.0,7
Imm.Interferon.0,MeV.Endothelial.3,9
Imm.Interferon.0,MeV.FibCollagen.2,14
Imm.Interferon.0,MeV.VLMC.1,18
Imm.Interferon.0,MeV.FibLaminin.0,14
Imm.Interferon.0,MeV.VLMC.0,14
Imm.Interferon.0,MeV.Fib.3,16
Imm.Interferon.0,MeV.FibUnknown.6,20
Imm.Interferon.0,MeV.LowQuality.0,15
Imm.Interferon.0,Imm.M0Like.0,24
Imm.Interferon.0,MeV.Endothelial.1,25
Imm.Interferon.0,MeV.Fib.2,9
Imm.Interferon.0,MeV.FibCollagen.0,14
Imm.Interferon.0,MeV.Fib.0,11
Imm.Interferon.0,MeV.Fib.1,13
Imm.Interferon.0,MeV.Endothelial.2,14
Imm.Interferon.0,MeV.FibCollagen.3,11
MeV.ImmuneDoublets.0,Imm.M0Like.1,6
MeV.ImmuneDoublets.0,Imm.M0Like.2,8
MeV.ImmuneDoublets.0,Imm.DAM.0,6
MeV.ImmuneDoublets.0,Imm.MHCII.0,8
MeV.ImmuneDoublets.0,Imm.Interferon.0,8
MeV.ImmuneDoublets.0,MeV.ImmuneDoublets.0,2
MeV.ImmuneDoublets.0,Imm.PVM.0,8
